id,object,relatesTo
rc:Rotunda,rc:RoundObject,kko:relatesToShapes
rc:Saw,rc:DangerousThing,kko:relatesToConcepts
rc:Scandal,rc:EventCausingDistressOrPain,kko:relatesToConcepts
rc:Scene_Dramatic,rc:TemporallyContinuousThing,kko:relatesToConcepts
rc:ScubaDiving,rc:DangerousActivity,kko:relatesToConcepts
rc:Seaweed,rc:MarineOrganism,kko:relatesToLivingThings
rc:SeedGerminationEvent,rc:BiologicalAttribute,kko:relatesToAdjunctualAttributes
rc:SelfControl,rc:IndependentThing,kko:relatesToConcepts
rc:SemiSolidTangibleThing,rc:FiniteSpatialThing,kko:relatesToShapes
rc:SensoryQuantity,rc:SensoryAttribute,kko:relatesToIntrinsicAttributes
rc:SentientAnimal,rc:Sentient,kko:relatesToAgents
rc:ServiceEvent,rc:HelpingAnAgent,kko:relatesToActionTypes
rc:SharkAttack,rc:DangerousEvent,kko:relatesToConcepts
rc:Shark_GreatWhite,rc:DangerousThing,kko:relatesToConcepts
rc:SilentFilmMusic,rc:Movie_Silent,kko:relatesToVisualInfo
rc:SingleCellOrganism,rc:Microorganism,kko:relatesToLivingThings
rc:Situation,rc:TemporallyExistingThing,kko:relatesToConcepts
rc:Skin,rc:Layer,kko:relatesToForms
rc:Skin,rc:TactileSensor,kko:relatesToTopicsCategories
rc:SkinCare,rc:Skin,kko:relatesToAnimals
rc:SkinTest,rc:Skin,kko:relatesToAnimals
rc:SkyDiving,rc:DangerousActivity,kko:relatesToConcepts
rc:Slide_Topographical,rc:Pile,kko:relatesToConcepts
rc:Smoking,rc:DangerousActivity,kko:relatesToConcepts
rc:SocialEnvironment,rc:Environment_Generic,kko:relatesToShapes
rc:SocialQuantity,rc:SocialAttribute,kko:relatesToContextualAttributes
rc:SolarEnergy,rc:Light_Stuff,kko:relatesToConcepts
rc:SolidTangibleArtifact,rc:SolidTangibleThing,kko:relatesToShapes
rc:Solid_StateOfMatter,rc:SolidTangibleThing,kko:relatesToShapes
rc:SomaticCell,rc:Protozoan,kko:relatesToLivingThings
rc:SpatialThing,rc:Spatial_Topic,kko:relatesToTopicsCategories
rc:SpatialThing_Localized,rc:TemporallyExistingThing,kko:relatesToConcepts
rc:SportsAward,rc:AwardAttribute,kko:relatesToAdjunctualAttributes
rc:StramenopilesBLO,rc:KingdomStramenopiles,kko:relatesToLivingThings
rc:Stratum,rc:Layer,kko:relatesToForms
rc:StyleAttribute,rc:ConventionalClassificationType,kko:relatesToCopulativeRelations
rc:SubAtomicParticle,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:SubAtomicParticle,rc:TemporalThing,kko:relatesToConcepts
rc:SubstanceAbuse,rc:DangerousActivity,kko:relatesToConcepts
rc:SurfaceRegion_Finite,rc:FiniteSpatialThing,kko:relatesToShapes
rc:SymptomConditions,rc:PhysiologicalCondition,kko:relatesToDiseases
