kbpedia_id,s,p,o,
http://kbpedia.org/kko/rc/LambdaPhage,LambdaPhage,owl:equivalentClass,http://www.wikidata.org/entity/Q615868,Q615868
http://kbpedia.org/kko/rc/LambDish,LambDish,owl:equivalentClass,http://www.wikidata.org/entity/Q18697490,Q18697490
http://kbpedia.org/kko/rc/LambdoidSuture,LambdoidSuture,owl:equivalentClass,http://www.wikidata.org/entity/Q259368,Q259368
http://kbpedia.org/kko/rc/LamborghiniCar,LamborghiniCar,owl:equivalentClass,http://www.wikidata.org/entity/Q35886,Q35886
http://kbpedia.org/kko/rc/LamborghiniEspadaCar,LamborghiniEspadaCar,owl:equivalentClass,http://www.wikidata.org/entity/Q127039,Q127039
http://kbpedia.org/kko/rc/LamborghiniGallardo,LamborghiniGallardo,owl:equivalentClass,http://www.wikidata.org/entity/Q152917,Q152917
http://kbpedia.org/kko/rc/LamborghiniVehicle,LamborghiniVehicle,owl:equivalentClass,http://www.wikidata.org/entity/Q8581107,Q8581107
http://kbpedia.org/kko/rc/Laminariales,Laminariales,owl:equivalentClass,http://www.wikidata.org/entity/Q1055316,Q1055316
http://kbpedia.org/kko/rc/LaminatedPaper,LaminatedPaper,owl:equivalentClass,http://www.wikidata.org/entity/Q6481944,Q6481944
http://kbpedia.org/kko/rc/LaminateFlooring,LaminateFlooring,owl:equivalentClass,http://www.wikidata.org/entity/Q2006908,Q2006908
http://kbpedia.org/kko/rc/Laminating,Laminating,owl:equivalentClass,http://www.wikidata.org/entity/Q137849,Q137849
http://kbpedia.org/kko/rc/Lamium,Lamium,owl:equivalentClass,http://www.wikidata.org/entity/Q146675,Q146675
http://kbpedia.org/kko/rc/Lamivudine,Lamivudine,owl:equivalentClass,http://www.wikidata.org/entity/Q422631,Q422631
http://kbpedia.org/kko/rc/LamontBentley,LamontBentley,owl:equivalentClass,http://www.wikidata.org/entity/Q956808,Q956808
http://kbpedia.org/kko/rc/LamottesRoundleafBat,LamottesRoundleafBat,owl:equivalentClass,http://www.wikidata.org/entity/Q308983,Q308983
http://kbpedia.org/kko/rc/Lamp,Lamp,owl:equivalentClass,http://www.wikidata.org/entity/Q1138737,Q1138737
http://kbpedia.org/kko/rc/LampBallast,LampBallast,owl:equivalentClass,http://www.wikidata.org/entity/Q789487,Q789487
