id,type,subPropertyOf,domain,range
rc:earthquake_magnitude_on_the_moment_magnitude_scale,owl:DatatypeProperty,kko:ratingsData,rc:Earthquake,xsd:decimal
rc:earthquake_magnitude_on_the_richter_magnitude_scale,owl:DatatypeProperty,kko:ratingsData,rc:Earthquake,xsd:decimal
rc:education_requirements,owl:DatatypeProperty,kko:qualitiesData,rc:JobListing||rc:PersonTypeByOccupation,xsd:string
rc:educational_framework,owl:DatatypeProperty,kko:extrinsicsData,rc:Learning,xsd:string
rc:educational_role,owl:DatatypeProperty,kko:conjoinsData,rc:Audience,xsd:string
rc:educational_use,owl:DatatypeProperty,kko:conjoinsData,rc:ConceptualWork,xsd:string
rc:effective_firing_range,owl:DatatypeProperty,kko:quantitiesData,rc:Gun,xsd:decimal
rc:electorate,owl:DatatypeProperty,kko:quantitiesData,rc:Vote_CollectiveDecision,xsd:decimal
rc:electric_charge,owl:DatatypeProperty,kko:qualitiesData,rc:Matter,xsd:decimal
rc:electric_dipole_moment,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:electronegativity,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:elevation,owl:DatatypeProperty,kko:quantitiesData,kko:Manifestations,xsd:decimal
rc:elevation_above_sea_level,owl:DatatypeProperty,kko:qualitiesData,rc:FixedStructure,xsd:decimal
rc:eligible_duration,owl:DatatypeProperty,kko:quantitiesData,rc:CommercialProposal,xsd:decimal
rc:eligible_quantity,owl:DatatypeProperty,kko:quantitiesData,rc:CommercialProposal,xsd:decimal
rc:eligible_transaction_volume,owl:DatatypeProperty,kko:extrinsicsData,rc:CommercialProposal,xsd:string
rc:eligible_voters,owl:DatatypeProperty,kko:quantitiesData,rc:Vote_CollectiveDecision,xsd:decimal
rc:elo_rating,owl:DatatypeProperty,kko:ratingsData,rc:HomoGenus,xsd:decimal
rc:employees,owl:DatatypeProperty,kko:quantitiesData,kko:Organizations,xsd:decimal
rc:employment_type,owl:DatatypeProperty,kko:classificationsData,rc:JobListing,xsd:string
rc:encoding_format,owl:DatatypeProperty,kko:formsData,rc:ConceptualWork,xsd:string
rc:encoding_type,owl:DatatypeProperty,kko:classificationsData,rc:DynamicIndexedInfoSource,xsd:string
rc:endTime,owl:DatatypeProperty,kko:eventualsData,rc:ReservationAtARestaurant||kko:ActionTypes,
rc:end_date,owl:DatatypeProperty,kko:eventualsData,rc:CalendarSeasonType,
rc:end_time,owl:DatatypeProperty,kko:eventualsData,kko:Manifestations,xsd:string
rc:energy_storage_capacity,owl:DatatypeProperty,kko:quantitiesData,rc:Battery,xsd:decimal
rc:enthalpy_of_vaporization,owl:DatatypeProperty,kko:qualitiesData,rc:Matter,xsd:decimal
rc:equal,owl:DatatypeProperty,kko:equivalencesData,rc:Equivalences,xsd:string
rc:equivalent_class,owl:DatatypeProperty,kko:equivalencesData,owl:Thing,xsd:string
rc:equivalent_property,owl:DatatypeProperty,kko:equivalencesData,owl:Thing,xsd:string
rc:erd_s_number,owl:DatatypeProperty,kko:classificationsData,kko:Persons,xsd:decimal
rc:estimated_cost,owl:DatatypeProperty,kko:quantitiesData,rc:InstructionalWork,xsd:string
rc:estimated_flight_duration,owl:DatatypeProperty,kko:eventualsData,rc:CommercialPassengerFlight,xsd:string
rc:event_distance,owl:DatatypeProperty,kko:quantitiesData,rc:SportsCompetition,xsd:decimal
rc:exact_match,owl:DatatypeProperty,kko:equivalencesData,owl:Thing,xsd:string
rc:expected_arrival_from,owl:DatatypeProperty,kko:eventualsData,rc:PackageDelivery,
rc:expected_arrival_until,owl:DatatypeProperty,kko:eventualsData,rc:PackageDelivery,
rc:experience_requirements,owl:DatatypeProperty,kko:qualitiesData,rc:JobListing||rc:PersonTypeByOccupation,xsd:string
rc:expires,owl:DatatypeProperty,kko:eventualsData,rc:ConceptualWork,
rc:external_subproperty,owl:DatatypeProperty,kko:descendantsData,owl:Thing,xsd:string
rc:external_superproperty,owl:DatatypeProperty,kko:descendantsData,owl:Thing,xsd:string
rc:face_value,owl:DatatypeProperty,kko:quantitiesData,rc:TenderObject,xsd:decimal
rc:family_relationship_degree,owl:DatatypeProperty,kko:situantsData,kko:Persons,xsd:string
rc:fat_content,owl:DatatypeProperty,kko:quantitiesData,rc:NutritionInformation,xsd:decimal
rc:fee,owl:DatatypeProperty,kko:quantitiesData,rc:PathArtifact_Area,xsd:decimal
rc:fees_and_commissions_specification,owl:DatatypeProperty,kko:extrinsicsData,rc:FinancialAsset,xsd:string
rc:female_population,owl:DatatypeProperty,kko:quantitiesData,rc:HumanPopulation,xsd:decimal
rc:fiber_content,owl:DatatypeProperty,kko:quantitiesData,rc:NutritionInformation,xsd:decimal
rc:file_format_schema,owl:DatatypeProperty,kko:formsData,rc:ConceptualWork,xsd:string
rc:file_size,owl:DatatypeProperty,kko:quantitiesData,rc:SoftwareObject_Individual,xsd:string
rc:first_flight,owl:DatatypeProperty,kko:eventualsData,rc:Airplane,xsd:string
rc:fiscal_tax_revenue,owl:DatatypeProperty,kko:quantitiesData,kko:Organizations,xsd:decimal
rc:flash_point,owl:DatatypeProperty,kko:qualitiesData,rc:Measurement,xsd:decimal
